dish_name,prefecture,area_name,main_ingredients,history,image_url,type,seasonality,calories,protein,carbohydrates,fats,sodium,vegan,vegetarian,no_gluten,no_seafood,no_pork,no_dairy,no_nuts,area_lat,area_lon,places
Aburafu don (Rice Bowl with deep-fried wheat gluten),Miyagi,Tome City,Aburafu,"During Obon (mid-August), tofu merchants prepared fried and fresh tofu for Shojin ryori, but without refrigeration their products spoiled quickly. In Tome City, a tofu shop devised Aburafu by mixing wheat flour into gluten, washing out the starch, and frying the gluten into sticks. Aburafu, one of three fu (gluten) varieties—Namafu, Yakifu, and Aburafu—is prized for its flavor and chewy texture, and is used in vegetarian and macrobiotic cuisines. Once exclusive to Tome, it later spread nationwide as its popularity grew. Aburafudon (rice bowl with deep-fried wheat gluten) was created by a local inn hostess, likening it to katsudon but with Aburafu replacing pork cutlet. The dish gained national fame after competing in the B-1 Grand Prix.",https://www.maff.go.jp/e/policies/market/k_ryouri/assets/uploads/2023/11/miyagi_14_1.jpeg,rice dish,all season,232.5,22.5,19.0,7.0,1.0,False,False,False,False,True,True,True,38.6918716,141.1876508,[]
Iwana no Shioyaki (Salt-grilled Char),Miyagi,Kurihara City and environs,Char,"Iwana (char) is a river fish that lives in clean, upper-stream headwaters and is notoriously hard to catch. Miyagi Prefecture was Japan’s first to farm char, producing fish raised in clean water with no off-smells and a sweet flavor and soft skin, making salt-grilled preparations especially fitting. Char has long been popular with ordinary people, and Miyagi also developed Date Iwana, a local variety bred for raw consumption. Date Iwana is farmed in Kurihara City (the birthplace of char farming) and in Yamato Town and Shiroishi City. It’s bred without eggs to prevent growth stagnation, grows to about 50 cm and 1 kg in 2–3 years, and is under strict brand control: only individuals over 800 g are called Date Iwana. Initially developed for sashimi, Date Iwana’s white flesh features in a range of Japanese, Western, and Chinese dishes, while salt-grilled preparations remain popular.",https://www.maff.go.jp/e/policies/market/k_ryouri/assets/uploads/2023/11/miyagi_16_1.jpeg,fish dish,all season,375.0,66.0,0.0,7.0,1.0,False,False,True,False,True,True,True,38.7300671,141.02134379999998,[]
Kiritanpo Nabe,Akita,"Odate City, Kazuno City","Rice, chicken, burdock root, scallion, Japanese parsley","Kiritanpo nabe is a Japanese hot pot where rice, simmered in a chicken-bone broth with seasonings, is mashed and folded with vegetables. It hails from Akita’s Odate and Kazuno regions. Its origin lies with charcoal-makers and loggers who roasted leftover rice on skewers with chicken and vegetables, then mashed the grains for cooking in a hot pot. A notable episode involves Hinai dori, Akita’s native chicken, which was once designated a national treasure and forbidden to eat; under Hinai’s mayor, a crossbred hinaijidori was developed to revive the household flavor. The meat of hinaijidori is said to resemble pheasants and turtledoves, with smooth fat that pairs well with tanpo—the grilled rice on skewers that resembles the head of cattails; tanpo literally means “short head.” Kiritanpo means cutting tanpo into shorter lengths to fit the pot.",https://www.maff.go.jp/e/policies/market/k_ryouri/assets/uploads/2023/08/akita_6_4.jpg,soup,winter,267.2,18.6,33.2,2.2,1.8,False,False,False,True,True,True,True,40.215771499999995,140.7885015,[]
Damako nabe,Akita,"Akita City, Oga, Minamiaki, and the northern coastal area up to the Noshiro-Yamamoto district","Rice, Hinai Jidori chicken, green onion, Japanese parsley, maitake mushroom, burdock root","Damako nabe is a traditional Akita winter hot pot of chicken, vegetables, and rice dumplings (damako) crushed in a mortar and pestle and cooked in chicken broth. It originated in the Minami-Aki region around Hachirogata and was originally called tsukego, a fish-based dish using grilled fish from the Hachiro Lagoon (wakasagi, crucian carp, whitebait) seasoned with miso. After the lagoon was reclaimed and fish catches declined, families replaced fish with chicken bones and meat. The name damako (damaiko in Akita) reflects the local term for the children’s game otedama, since the dumplings are shaped by crushing hot rice in a mortar and balled in the hand. There are theories that the dumplings’ resemblance to otedama gave the name, or that they were so tasty children ate them silently, giving rise to the idea of a quiet eater.",https://www.maff.go.jp/e/policies/market/k_ryouri/assets/uploads/2022/08/akita_4_3.jpg,soup,winter,573.4,28.6,63.4,18.6,2.4,False,False,False,False,True,True,True,40.2376293,140.434341,['ChIJy4yO3IMkkF8RajDU3QUKXYs']
Aka-zuke/Aka-zushi (Red Shiso sushi),Akita,All of Akita Prefecture,"Glutinous rice, Red Shiso","Aka-zuke (Aka-zushi) is a fermented dish of cooked glutinous rice marinated in salt-rubbed red shiso and vinegar. Also called Keitomama, the name links to the red color of the Keitou flower and to rice (“Mama”). In northern areas it is a Bon Festival staple, served after placing lotus-leaf-wrapped rice on the spirit shelf and before graves for guests and offerings to spirits. Color comes from Ume vinegar, red shiso leaves, Yamagrape berries, and Natsuhaze berries (Kohaze); practices vary regionally. Traditionally, households cook about 1.5 kg of glutinous rice in a large barrel each year. The bright natural red is highly prized, and the dish is valued as an all-purpose fermented food that relieves fatigue and aids digestion, with a refreshing, crisp flavor suited to midsummer. In Daisen City, pickling often uses Umezuke/Umezu with Myoga, cucumbers, red shiso, salt, and layered rice.",https://www.maff.go.jp/e/policies/market/k_ryouri/assets/uploads/2024/02/akita_29_2.jpg,rice dish,summer,1945.0,32.5,419.0,2.0,1.0,True,True,True,True,True,True,True,40.1376293,140.334341,['ChIJ4weGk-nCj18REyTQRtaGltI']
Trout Ankake,Yamagata,Shonai Area,"Trout, chives, ginger, salt, sugar, and kudzu flour.","Trout Ankake is a springtime specialty from the Shonai region of Yamagata Prefecture. It uses Sakuramasu, or cherry trout—the young fish that fight for territory; losers head to the sea and become Sakuramasu, while winners stay in rivers to become yamame. The name Sakuramasu reflects the cherry blossoms and the fish’s return to the river before spawning. Sakuramasu is an iconic fish of Yamagata and was designated the prefectural fish in 1992. Trout Ankake was first eaten in the Edo period, and the thick savory Ankake sauce is thought to have been introduced to Shonai by merchant ships from Osaka and Hokkaido. Today it remains a celebratory dish, and the scarcity of sugar and kudzu flour historically made it a special dish for entertaining guests.",https://www.maff.go.jp/e/policies/market/k_ryouri/assets/uploads/2023/08/yamagata_22_1-1.jpg,fish dish,all season,321.25,16.0,41.5,4.75,0.75,False,False,False,False,True,True,True,38.8482875,139.9969821,['ChIJWbYZ8aWPjl8RVml47Gs2xDo']
Shoyu no mi,Yamagata,Shonai area,"Soybeans, wheat, rice, seed malt, salt","Shoyu-no-Mi"" is a versatile seasoning made by fermenting soybeans, wheat (pressed barley is sometimes used), rice, and seed koji by adding salt water and letting it sit while stirring. Soy sauce and sake are added instead of salt water, and with this method, the soy sauce is ready to eat in about one week to 10 days. In the Shonai area, it is said to have been eaten since the Edo period (1603-1867). The flavor can be sweet or salty, depending on the amount of koji used. It is also called ""amabisho"" or ""amapicho"" in some regions.",https://www.maff.go.jp/e/policies/market/k_ryouri/assets/uploads/2022/08/yamagata_29_1-1.jpg,other,all season,60.0,6.0,6.0,1.0,6.0,True,True,False,True,True,True,True,38.8482875,139.9069821,"['ChIJW2rakxoEjF8Ry4AW7J704qM', 'ChIJF3ZO68UYjF8R7g7jsQC2bKM', 'ChIJLQiz5c8fjF8RCK3qOGpopFA', 'ChIJAXXTvXOcjl8RMMdIyEbe62M', 'ChIJJ9jR0KG3i18RLNdHWa5tiTk']"
Natto Jiru(natto soup),Yamagata,The whole prefecture,"Natto, tofu, fried tofu, edible wild plants, Imogara(made from dried stems of Karatori potatoes), konjac, mushrooms, onions, Japanese parsley, miso","Natto Jiru is a traditional winter, home-style soup from Yamagata Prefecture, especially Murayama in Oe Town. Natto—fermented soybeans—was once made at home to preserve food for the cold months, often by stuffing boiled soybeans into a straw tube and warming it beside a kotatsu for a night or two. In Murayama, fermented soybeans without strings are milled to a creamy texture and stirred into a thickened soup. An indispensable ingredient is imogara, dried stems of Karatori potatoes, which, with tofu, fried tofu, and other preserved foods, provides protein. The dish has seasonal and ritual ties: eaten on Nanakusa day (Jan 7) in Murayama, on New Year’s Day in Mogami, and sometimes on Daikoku-sama no Otoshiya (Dec 9) in Shonai.",https://www.maff.go.jp/e/policies/market/k_ryouri/assets/uploads/2022/08/yamagata_3_1-1.jpg,soup,all season,172.0,11.4,14.0,6.8,0.6,False,False,False,False,True,True,True,38.412239299999996,140.37034409999998,[]
Anko no Tomo Ae,Fukushima,Soma City,Monkfish,"Anglerfish is in season in winter. Anglerfish is said to be a fish that has nothing to throw away, and is often eaten not only for its meat but also for its liver. Anglerfish are often caught in Fukushima, and Iwaki City and Soma City are especially known for their anglerfish landing sites. A local dish using anglerfish, often eaten in Soma City, is ""Anko no Tomo Ae"". It Prepared by tossing boiled anglerfish with sauted anglerfish liver, miso, and sugar. In the vicinity of fishing villages,it is made only with anglerfish, because ankou are easily available,but in other areas, it is made with ""kiriboshi-daikon (=dried daikon radishes)"" to increase bulk. In Iwaki City, in addition to ""tomo Ae"", ""Anko Nabe (=anglerfish hot pot)"" is also popular. Both of these dishes are representative of local cuisine, where you can enjoy anglerfish all the way down to the liver.",https://www.maff.go.jp/e/policies/market/k_ryouri/assets/uploads/2023/12/fukushima_15_1-1.jpeg,fish dish,all season,87.5,6.0,9.5,1.5,0.75,False,False,False,False,True,True,True,37.7970426,140.9190868,[]
Anpogaki no Namasu (Dried persimmons with daikon radish and carrot salad),Fukushima,"Date City, Fukushima City","Anpo dried persimmons, Daikon radish, Carrot","It is said that persimmons began to be eaten in Fukushima Prefecture around the Edo period. A man named Nanemon, who lived in the town of Yanagawa (current Date City), planted the first persimmon tree. Anpo persimmons are called 'Amahoshi Persimmons' because the persimmon peel is peeled off before sun-drying ('amahoshi' means sun-drying). Later, this term evolved into 'Anpo Persimmons' as it became commonly used. It is a well-known specialty of Fukushima, and is used in various dishes beyond namasu, including tempura, yokan (sweet bean jelly), salads, and even in dishes like shochu pickles. One of them is ""Anpo-kaki Namasu,"" an arrangement of Namasu, a dish generally known as a celebratory dish, with shredded Anpo-kaki (persimmon). The refreshing acidity and the sweetness and umami of the bean-pot persimmon go perfectly together in this dish.",https://www.maff.go.jp/e/policies/market/k_ryouri/assets/uploads/2023/11/fukushima_16_1.jpeg,pickles,winter,57.5,0.25,7.5,0.25,0.25,True,True,True,True,True,True,True,37.819142299999996,140.5628749,[]
Hatto,Fukushima,"Hinoemata Villege, Minami-aizu Region","Buckwheat flour, glutinous rice flour","Hatto is a Japanese dish made by kneading and rolling dough from buckwheat flour, rice flour, or glutinous rice flour, cutting it into diamond shapes, and boiling. During the Edo period, there was a movement to restrict flour-based foods to curb excessive rice and soba consumption, leading to covert use of prohibited flours. This secret practice is said to have given the dish its name. Another theory attributes the name to a feudal lord’s remark that it was too good for commoners, implying it was forbidden to them. In modern times, variations include diamond-shaped pieces called hishi hatto and versions with added okara called oka hatto, enriching the dish’s repertoire.",https://www.maff.go.jp/e/policies/market/k_ryouri/assets/uploads/2024/02/fukushima_26_1-1.jpg,other,winter,640.0,14.5,101.75,16.75,1.0,True,True,False,True,True,True,True,37.0241499,139.3888872,"['ChIJS7J0aeDMH2ARiKHAB-ITj4U', 'ChIJv8ex4vDPH2ARBFVY8KCkbI0']"
Unagi no hobiki ni (eel stewed in a hobiki),Ibaraki,"Tone River, Kasumigaura area",Eel,"Unagi no hobiki ni (eel stewed in a hobiki) is a Kasumigaura, Ibaraki dish rooted in the region’s fishing heritage. Kasumigaura, Japan’s second-largest lake, yields abundant freshwater fish, and Ushiku-numa in Ryugasaki is regarded as the birthplace of eel bowls, with an “Eel Road” of longstanding eel restaurants. Eels were once a luxury but were commonly eaten locally, and leftover eels were frozen to create quick, sumptuous dishes. The term hobiki refers to the sailboat with huge white sails once used for eel fishing on Kasumigaura. In March 2018, sail seine fishing on the lake was designated a National Intangible Folk Cultural Property. As wind limits and safety concerns made traditional fishing impractical, mechanical trawlers took over. The dish is now called “eels in sail,” decorated with bamboo leaves to evoke sails, while sailboats operate for spring-to-fall sightseeing.",https://www.maff.go.jp/e/policies/market/k_ryouri/assets/uploads/2023/09/ibaraki_19_1-1.jpg,fish dish,all season,395.0,25.0,21.25,18.0,1.25,False,False,False,False,True,True,True,36.1309206,139.7529764,['ChIJmfHj2JtxImARKs3vrFxQmVc']
Tsuke Kenchin,Ibaraki,The whole prefecture,"Soba, taro, radish, carrots, konjac, tofu, raw shiitake mushrooms","Tsuke Kenchin is a regional dish from Ibaraki Prefecture, where soba has been cultivated since the Edo period due to climate and terrain. Ibaraki is a major soba producer in the Kanto region, and in 1978 breeders developed Hitachi Aki Soba, a high-quality brand prized for taste and aroma, popular in Tokyo soba restaurants and beyond. In the prefecture, root vegetables are plentiful, and Kenchin Jiru (kenchin soup) is commonly eaten with soba. It is believed that Tsuke Kenchin—dipping soba noodles into Kenchin Jiru—was already enjoyed in late Edo period. The practice of eating soba with Tsuke Kenchin around the old New Year (Setsubun, February 3) spread from the Mito domain. Today it remains widespread in Ibaraki, especially in the northern areas, as a deeply rooted local cuisine.",https://www.maff.go.jp/e/policies/market/k_ryouri/assets/uploads/2022/08/ibaraki_2_1-1.jpg,soup,all season,512.5,17.0,87.0,11.25,0.5,True,True,False,True,True,True,True,36.219357099999996,140.1832516,"['ChIJY7OFYEIkImARXkeMGnmtwfk', 'ChIJQURehB2LIWAR4fDmA-odfnY', 'ChIJt43VZ0IkImARkblBKJUzdh0', 'ChIJ4-9ANlRuImARS4u9SEpdN8I', 'ChIJB7H6BdgFImAR06acxxXZ7g4']"
Ogura Renkon (Ogura Lotus Root),Ibaraki,All areas of Ibaraki and areas around Kasumigaura,"Lotus root, adzuki beans","Ogura renkon, a regional dish from Ibaraki Prefecture, features lotus root that dominates Japan’s market—over half of domestic production—especially around Kasumigaura, where abundant water and wetlands support cultivation. Harvest runs July to March; during the season, stems and leaves are cut to halt growth, allowing the underground roots to accumulate starch. The longer they stay in the mud, the starchier the summer lotus root (crisp) and the winter version becomes fluffy and delicate. The dish is traditionally made with adzuki beans from Ibaraki, reflecting local ingredients. While other regions have renkon adzuki stew, Ibaraki’s version emphasizes simmering lotus root with adzuki to yield shiho-iro color. “Shiho” refers to Mt. Tsukuba, a famous Ibaraki peak, nicknamed purple peak because its surface reddens in the morning and evening light.",https://www.maff.go.jp/e/policies/market/k_ryouri/assets/uploads/2023/08/ibaraki_23_1-1.jpg,sweets,all season,157.5,2.5,37.25,0.25,0.25,True,True,True,True,True,True,True,36.0490693,140.3791577,"['ChIJH1yPOxxtImAR1Ma25cBIoEI', 'ChIJAwDhOMdsImARSNerfRiyU6A', 'ChIJiSri5TRtImARb_yLekmVFBU', 'ChIJt43VZ0IkImARkblBKJUzdh0', 'ChIJtZg_udRzIWARDC252eZ3Gdk']"
Nishime (Simmered Japanese Taro and Others),Tochigi,All of Tochigi prefecture,"Satoimo(=Japanese taro), Daikon radish, Carrot, Gobou(=Burdock root), Shiitake mushroom, Konjac(=yam cake)","Nishime, also known as imo-nishime, is a local traditional dish served at festivals, home celebrations, and ceremonies, with satoimo (Japanese taro) as its core ingredient. Taro is considered lucky, symbolizing many children and a bountiful harvest, and is used in feasts such as osechi during New Year celebrations. The crop is believed to have been introduced to Japan in the Jomon period, before rice cultivation, and it can be grown on diverse lands, including volcanic ash plateaus and gravel. In Tochigi prefecture, satoimo is cultivated in volcanic ash areas around Utsunomiya, the fan-shaped Nasu region, and gravel soils at the foot of the Ashio Mountains. As a result, taro is widely used there to make a variety of dishes, with Nishime being a notable preparation.",https://www.maff.go.jp/e/policies/market/k_ryouri/assets/uploads/2024/01/tochigi_19_1.jpeg,vegetable,winter,590.0,17.0,125.75,5.0,1.5,False,False,False,False,True,True,True,36.471473899999995,139.7547266,['ChIJ3dTMhdWmH2ARk-3jXiYGiZQ']
Botamochi (Japanese Confectionary Made with Rice and Bean Paste),Tochigi,All of Tochigi prefecture,"Glutinous rice, Short-grain rice, Azuki beans","Botamochi is an indispensable dish eaten on Higan (=equinoctial week). It is mostly eaten during the week of the spring equinox when peony flowers bloom. For the autumnal equinox, when Japanese clovers are in bloom, ohagi is typically eaten. At local confectionary shops, botamochi is made by molding mashed glutinous rice and short-grain rice into barrel shapes and covering them in azuki bean paste. Local farmers were busy so when preparing botamochi, they would put the cooked rice in a chawan and place the azuki bean paste on top. It is also eaten during the Bon holiday. There is a saying, Botamochi for Bon, udon noodles at noon, and pumpkin soup with rice at night.",https://www.maff.go.jp/e/policies/market/k_ryouri/assets/uploads/2024/01/tochigi_21_1.jpeg,sweets,spring,1066.6666666666667,23.333333333333332,240.0,2.6666666666666665,0.3333333333333333,True,True,True,True,True,True,True,36.571473899999995,139.9547266,"['ChIJLzVs3Ac9H2AR0kilclIntgA', 'ChIJkfxlhRlHH2ARLPoiqjCn4KI', 'ChIJw2O85ipPH2ARQTr68KZa2S0', 'ChIJJTvZhKxLH2ARW4IZWaF6qJs', 'ChIJK0D8KsVKH2AR2iY0pZYYGTo']"
